"PhonologicalForm","WrittenForm","SynCatCode","Freq","StressPattern"
"---",".","Si","3000","WS"
"!!!","!","Si","800","WS"
"""","""","Si","500","WS"
"~~~","؟","Si","1000","WS"
"،،،","ـ","Si","800","WS"
"،،،","(","Si","1","WS"
"،،،",")","Si","1","WS"
"،،،",":","Si","400","WS"
"،،،","[","Si","100","WS"
"،،،","]","Si","100","WS"
"،،،","{","Si","100","WS"
"،،،","}","Si","100","WS"
"،،،","،","Si","2000","WS"
"،،،","؛","Si","300","WS"
"،،،","<","Si","100","WS"
"،،،",">","Si","100","WS"
"،،،","«","Si","100","WS"
"،،،","»","Si","100","WS"
"'A","آ","Ab","1","S"
"'A","آ","Al","1","S"
"'aAkeS","عصاكش","N1","2","WWS"
"'a'amm","اعم","A0","15","WS"
"'a'ArofbardAr","تعارف‌بردار","A0","1","WWWWS"
"'a'Azem","اعاظم","N1","1","WWS"
"'Ab","آب","N1","3885","S"
"'Ab","آب","V1","5000","S"
"'ab","اب","N1","30","S"
"'AbA","آباء","N1","8","WS"
"'abA","عبا","N1","60","WS"
"'abA'abdellAh","اباعبدالله","N3","55","WWWWS"
"'abA'abdolmalek","اباعبدالملك","N3","1","WWWWWS"
"'abA'abdorrahmAn","ابا‌عبدالرحمن","N3","1","WWWWWS"
"'abAbAfi","عبابافي","N1","15","WWWS"
"'abAbakr","ابابكر","N3","1","WWS"
"'abAbil","ابابيل","N3","1","WWS"
"'AbAd","آباد","A0","60","WS"
"'abad","ابد","A0","15","WS"
"'ab'Ad","ابعاد","N1","855","WS"
"'abadA","ابدا","Ad","5","WWS"
"'AbAdAn","آبادان","A0","465","WWS"
"'abadan","ابداً","Ad","15","WWS"
"'abadAn","ابدان","N1","1","WWS"
"'AbAdAni","آباداني","N1","15","WWWS"
"'AbAde","آباده","N2","15","WWS"
"'AbAdgar","آبادگر","A0","3","WWS"
"'AbAdgari","آبادگري","N1","1","WWWS"
"'AbAdi","آبادي","N1","195","WWS"
"'abadi","ابدي","A0","45","WWS"
"'ab'Adi","ابعادي","A0","90","WWS"
"'abadiyyat","ابديت","N1","28","WWWS"
"'abadoddahr","ابدالدهر","N1","1","WWWS"
"'abadol'AbAd","ابدالآباد","N1","1","WWWWS"
